Acción,Incidencia,Farola,Sticker,Potencia,Tecnologia,Tipo,LATITUD,LONGITUD,Descripción,Mes,Tiempo (Días),Operario,Estado
Correctivo,1653706,1641641,038870,92.6,LED,ACT,2.929030068,-75.29596497,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad57 ,FINALIZADA
Correctivo,1649580,1641641,038870,92.6,LED,AVE,2.929030068,-75.29596497,Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA,Febrero,4,ESIP,FINALIZADA
Correctivo,1653707,1641643,038857,92.6,LED,ACT,2.928649096,-75.29564399,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad57 ,FINALIZADA
Correctivo,1649582,1641643,038857,92.6,LED,AVE,2.928649096,-75.29564399,Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA,Febrero,4,ESIP,FINALIZADA
Correctivo,1653824,1641668,009527,27.8,LED,ACT,2.92624564,-75.28820111,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad57 ,FINALIZADA
Correctivo,1653810,1641668,009527,27.8,LED,AVE,2.92624564,-75.28820111,"Registro de incidencia tipo: IntermitentePQR-INTERNA
",Febrero,0,DRODRIGUEZ,FINALIZADA
Correctivo,1652103,1641705,049381,27.8,LED,ACT,2.92923578,-75.29620516,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad57 ,FINALIZADA
Correctivo,1649590,1641705,049381,27.8,LED,AVE,2.92923578,-75.29620516,Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA,Febrero,3,ESIP,FINALIZADA
Correctivo,1661350,1641718,020295,37,LED,ACT,2.93178548,-75.29177579,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad54 ,FINALIZADA
Correctivo,1661309,1641718,020295,37,LED,AVE,2.93178548,-75.29177579,Registro de incidencia tipo: ApagadaPQR-INTERNA,Febrero,0,DRODRIGUEZ,FINALIZADA
Correctivo,1661346,1641721,010293,27.8,LED,ACT,2.93169113,-75.29213341,"Se ha actuado sobre: Acometida, Fotocelda, Otros: 25MTRS#2/1F/C.E",Febrero,0,cuad54 ,FINALIZADA
Correctivo,1661286,1641721,010293,27.8,LED,AVE,2.93169113,-75.29213341,Registro de incidencia tipo: ApagadaPQR-INTERNA,Febrero,0,DRODRIGUEZ,FINALIZADA
Correctivo,1661348,1641722,020438,37,LED,ACT,2.93166277,-75.29226755,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad54 ,FINALIZADA
Correctivo,1661305,1641722,020438,37,LED,AVE,2.93166277,-75.29226755,Registro de incidencia tipo: ApagadaPQR-INTERNA,Febrero,0,DRODRIGUEZ,FINALIZADA
Correctivo,1661347,1641723,020440,37,LED,ACT,2.93157635,-75.29257948,"Se ha actuado sobre: Acometida, Otros: 10MTRS#2/C.E",Febrero,0,cuad54 ,FINALIZADA
Correctivo,1661307,1641723,020440,37,LED,AVE,2.93157635,-75.29257948,Registro de incidencia tipo: ApagadaPQR-INTERNA,Febrero,0,DRODRIGUEZ,FINALIZADA
Correctivo,1661292,1641724,020441,37,LED,ACT,2.93157635,-75.29257948,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad54 ,FINALIZADA
Correctivo,1658675,1641724,020441,37,LED,AVE,2.93157635,-75.29257948,Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA,Febrero,2,ESIP,FINALIZADA
Correctivo,1661291,1641725,017806,27.8,LED,ACT,2.93162329,-75.2924004,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad54 ,FINALIZADA
Correctivo,1658677,1641725,017806,27.8,LED,AVE,2.93162329,-75.2924004,Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA,Febrero,2,ESIP,FINALIZADA
Correctivo,1661290,1641726,020433,37,LED,ACT,2.93162329,-75.2924004,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad54 ,FINALIZADA
Correctivo,1658678,1641726,020433,37,LED,AVE,2.93162329,-75.2924004,Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA,Febrero,2,ESIP,FINALIZADA
Correctivo,1659722,1641733,020465,37,LED,AVE,2.93136857,-75.29336325,Registro de incidencia tipo: ApagadaPQR-EXTERNA,Febrero,,ESIP,EN CURSO
Correctivo,1654679,1641760,031028,70,LED,ACT,2.943473069,-75.30337302,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad54 ,FINALIZADA
Correctivo,1653339,1641760,031028,70,LED,AVE,2.943473069,-75.30337302,Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA,Febrero,1,ESIP,FINALIZADA
Correctivo,1654661,1641761,031019,70,LED,ACT,2.943480038,-75.30336196,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad54 ,FINALIZADA
Correctivo,1653340,1641761,031019,70,LED,AVE,2.943480038,-75.30336196,Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA,Febrero,1,ESIP,FINALIZADA
Correctivo,1654669,1641762,031044,70,LED,ACT,2.943176087,-75.30326397,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad54 ,FINALIZADA
Correctivo,1653343,1641762,031044,70,LED,AVE,2.943176087,-75.30326397,Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA,Febrero,1,ESIP,FINALIZADA
Correctivo,1654668,1641763,031023,70,LED,ACT,2.943194102,-75.30322096,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad54 ,FINALIZADA
Correctivo,1653344,1641763,031023,70,LED,AVE,2.943194102,-75.30322096,Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA,Febrero,1,ESIP,FINALIZADA
Correctivo,1654667,1641766,031014,70,LED,ACT,2.942662067,-75.30316197,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad54 ,FINALIZADA
Correctivo,1653276,1641766,031014,70,LED,AVE,2.942662067,-75.30316197,Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA,Febrero,1,ESIP,FINALIZADA
Correctivo,1654666,1641767,031056,70,LED,ACT,2.942570071,-75.30312199,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad54 ,FINALIZADA
Correctivo,1653275,1641767,031056,70,LED,AVE,2.942570071,-75.30312199,Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA,Febrero,1,ESIP,FINALIZADA
Correctivo,1654664,1641768,031037,70,LED,ACT,2.942376103,-75.30312797,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad54 ,FINALIZADA
Correctivo,1653278,1641768,031037,70,LED,AVE,2.942376103,-75.30312797,Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA,Febrero,1,ESIP,FINALIZADA
Correctivo,1654665,1641769,031020,70,LED,ACT,2.942309073,-75.30309799,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad54 ,FINALIZADA
Correctivo,1653277,1641769,031020,70,LED,AVE,2.942309073,-75.30309799,Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA,Febrero,1,ESIP,FINALIZADA
Correctivo,1653830,1641871,015762,27.8,LED,ACT,2.92647312,-75.2876554,"Se ha actuado sobre: Conectores, Otros: 2CDP-C.E",Febrero,0,cuad57 ,FINALIZADA
Correctivo,1653829,1641871,015762,27.8,LED,AVE,2.92647312,-75.2876554,Registro de incidencia tipo: ApagadaPQR-INTERNA,Febrero,0,DRODRIGUEZ,FINALIZADA
Correctivo,1653827,1641872,069996,27.8,LED,ACT,2.92641688,-75.28779781,"Se ha actuado sobre: Conectores, Otros: 2CDP-C.E",Febrero,0,cuad57 ,FINALIZADA
Correctivo,1653803,1641872,069996,27.8,LED,AVE,2.92641688,-75.28779781,Registro de incidencia tipo: ApagadaPQR-INTERNA,Febrero,0,DRODRIGUEZ,FINALIZADA
Correctivo,1653826,1641873,069999,27.8,LED,ACT,2.92636253,-75.28792739,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad57 ,FINALIZADA
Correctivo,1653805,1641873,069999,27.8,LED,AVE,2.92636253,-75.28792739,"Registro de incidencia tipo: IntermitentePQR-INTERNA
",Febrero,0,DRODRIGUEZ,FINALIZADA
Correctivo,1653825,1641874,069998,27.8,LED,ACT,2.92630663,-75.28806327,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad57 ,FINALIZADA
Correctivo,1653808,1641874,069998,27.8,LED,AVE,2.92630663,-75.28806327,"Registro de incidencia tipo: IntermitentePQR-INTERNA
",Febrero,0,DRODRIGUEZ,FINALIZADA
Correctivo,1644567,1641914,028322,74.1,LED,ACT,2.929392115,-75.27590503,"Se ha actuado sobre: Luminaria, Fotocelda, Otros: F.I 1F VIEJA037127-NUEVA028322",Febrero,0,cuad56 ,FINALIZADA
Correctivo,1644550,1641914,028322,74.1,LED,AVE,2.929392115,-75.27590503,Registro de incidencia tipo: ApagadaPQR-INTERNA,Febrero,0,COORDMTTO,FINALIZADA
Correctivo,1650739,1642148,028538,92.6,LED,ACT,2.93094441,-75.27863176,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad57 ,FINALIZADA
Correctivo,1647915,1642148,028538,92.6,LED,AVE,2.93094441,-75.27863176,Registro de incidencia tipo: ApagadaPQR-EXTERNA,Febrero,3,ESIP,FINALIZADA
Correctivo,1644569,1642167,007354,27.8,LED,ACT,2.933558029,-75.28325203,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad56 ,FINALIZADA
Correctivo,1644568,1642167,007354,27.8,LED,AVE,2.933558029,-75.28325203,Registro de incidencia tipo: ApagadaPQR-INTERNA,Febrero,0,COORDMTTO,FINALIZADA
Correctivo,1658286,1642217,025308,60.2,LED,AVE,2.930784045,-75.27678099,Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA,Febrero,,ESIP,EN CURSO
Correctivo,1658773,1642218,025303,60.2,LED,ACT,2.930784045,-75.27678099,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad57 ,FINALIZADA
Correctivo,1658287,1642218,025303,60.2,LED,AVE,2.930784045,-75.27678099,Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA,Febrero,1,ESIP,FINALIZADA
Correctivo,1658262,1642247,009167,27.8,LED,AVE,2.929476114,-75.279726,Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA,Febrero,,ESIP,EN CURSO
Correctivo,1658256,1642250,027198,60.2,LED,AVE,2.928961108,-75.28065297,Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA,Febrero,,ESIP,EN CURSO
Correctivo,1656526,1642270,054440,46.3,LED,ACT,2.925796061,-75.28409304,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad57 ,FINALIZADA
Correctivo,1652217,1642270,054440,46.3,LED,AVE,2.925796061,-75.28409304,Registro de incidencia tipo: ApagadaPQR-EXTERNA,Febrero,5,ESIP,FINALIZADA
Correctivo,1656525,1642271,054441,46.3,LED,ACT,2.925796061,-75.28409304,"Se ha actuado sobre: Acometida, Conectores, Otros: 2CDP-12MTRS3x14-C.E",Febrero,0,cuad57 ,FINALIZADA
Correctivo,1652215,1642271,054441,46.3,LED,AVE,2.925796061,-75.28409304,Registro de incidencia tipo: ApagadaPQR-EXTERNA,Febrero,5,ESIP,FINALIZADA
Correctivo,1658950,1642420,037137,74.1,LED,ACT,2.926168088,-75.28580497,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad54 ,FINALIZADA
Correctivo,1656022,1642420,037137,74.1,LED,AVE,2.926168088,-75.28580497,Registro de incidencia tipo: ApagadaPQR-INTERNA,Febrero,5,COORDMTTO,FINALIZADA
Correctivo,1644545,1642476,037104,74.1,LED,ACT,2.92630093,-75.28510531,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad57 ,FINALIZADA
Correctivo,1644106,1642476,037104,74.1,LED,AVE,2.92630093,-75.28510531,Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA,Febrero,0,ESIP,FINALIZADA
Correctivo,1653880,1642477,049315,27.8,LED,ACT,2.92780259,-75.29566626,Se ha actuado sobre: C.E,Febrero,0,cuad57,FINALIZADA
Correctivo,1649613,1642477,049315,27.8,LED,AVE,2.92780259,-75.29566626,Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA,Febrero,4,ESIP,FINALIZADA
Correctivo,1652101,1642480,049323,27.8,LED,ACT,2.92943667,-75.29636,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad57 ,FINALIZADA
Correctivo,1649592,1642480,049323,27.8,LED,AVE,2.92943667,-75.29636,Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA,Febrero,3,ESIP,FINALIZADA
Correctivo,1652304,1642519,028801,74.1,LED,ACT,2.92419115,-75.29327499,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad57 ,FINALIZADA
Correctivo,1649639,1642519,028801,74.1,LED,AVE,2.92419115,-75.29327499,Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA,Febrero,3,ESIP,FINALIZADA
Correctivo,1652100,1642529,049333,27.8,LED,ACT,2.92952043,-75.29642384,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad57 ,FINALIZADA
Correctivo,1649692,1642529,049333,27.8,LED,AVE,2.92952043,-75.29642384,Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA,Febrero,3,ESIP,FINALIZADA
Correctivo,1652310,1642530,028838,74.1,LED,ACT,2.92383063,-75.29315274,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad57 ,FINALIZADA
Correctivo,1649636,1642530,028838,74.1,LED,AVE,2.92383063,-75.29315274,Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA,Febrero,3,ESIP,FINALIZADA
Correctivo,1652099,1642533,049336,27.8,LED,ACT,2.92973679,-75.2965906,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad57 ,FINALIZADA
Correctivo,1649694,1642533,049336,27.8,LED,AVE,2.92973679,-75.2965906,Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA,Febrero,3,ESIP,FINALIZADA
Correctivo,1652098,1642537,049363,27.8,LED,ACT,2.92995003,-75.29675481,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad57 ,FINALIZADA
Correctivo,1649695,1642537,049363,27.8,LED,AVE,2.92995003,-75.29675481,Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA,Febrero,3,ESIP,FINALIZADA
Correctivo,1653716,1642541,049342,27.8,LED,ACT,2.9278468,-75.29556318,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad57 ,FINALIZADA
Correctivo,1649614,1642541,049342,27.8,LED,AVE,2.9278468,-75.29556318,Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA,Febrero,4,ESIP,FINALIZADA
Correctivo,1660491,1642542,009348,27.8,LED,AVE,2.93045634,-75.29724325,Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA,Febrero,,ESIP,EN CURSO
Correctivo,1660492,1642543,049324,27.8,LED,AVE,2.93045634,-75.29724325,Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA,Febrero,,ESIP,EN CURSO
Correctivo,1653711,1642546,028688,74.1,LED,ACT,2.92801632,-75.29564343,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad57 ,FINALIZADA
Correctivo,1649619,1642546,028688,74.1,LED,AVE,2.92801632,-75.29564343,Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA,Febrero,4,ESIP,FINALIZADA
Correctivo,1645750,1642552,028821,74.1,LED,ACT,2.92420649,-75.29337443,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad56 ,FINALIZADA
Correctivo,1645506,1642552,028821,74.1,LED,AVE,2.92420649,-75.29337443,Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA,Febrero,0,ESIP,FINALIZADA
Correctivo,1645751,1642554,028817,74.1,LED,ACT,2.92409653,-75.29324713,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad56 ,FINALIZADA
Correctivo,1652306,1642554,028817,74.1,LED,ACT,2.92409653,-75.29324713,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad57 ,FINALIZADA
Correctivo,1649641,1642554,028817,74.1,LED,AVE,2.92409653,-75.29324713,Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA,Febrero,3,ESIP,FINALIZADA
Correctivo,1645505,1642554,028817,74.1,LED,AVE,2.92409653,-75.29324713,Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA,Febrero,0,ESIP,FINALIZADA
Correctivo,1645796,1642559,028824,74.1,LED,ACT,2.92396621,-75.29319768,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad56 ,FINALIZADA
Correctivo,1645781,1642559,028824,74.1,LED,AVE,2.92396621,-75.29319768,Registro de incidencia tipo: ApagadaPQR-INTERNA,Febrero,0,COORDMTTO,FINALIZADA
Correctivo,1652308,1642560,028826,74.1,LED,ACT,2.92396621,-75.29319768,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad57 ,FINALIZADA
Correctivo,1645752,1642560,028826,74.1,LED,ACT,2.92396621,-75.29319768,Se ha actuado sobre: Otros: C.E,Febrero,0,cuad56 ,FINALIZADA
Correctivo,1645504,1642560,028826,74.1,LED,AVE,2.92396621,-75.29319768,Registro de incidencia tipo: ApagadaPQR-INTERVENTORIA,Febrero,0,ESIP,FINALIZADA
